2010,The Social Network,8
1962,The Man Who Shot Liberty Valance,8
2001,A Beautiful Mind,8
2008,Ip Man,8
2004,Kill Bill: Vol. 2,8
2010,Shutter Island,8
1953,Tokyo Story,8
1979,Stalker,8
2001,Monsters Inc.,8
2006,Children of Men,8
1970,Patton,8
1972,Sleuth,8
1984,Nausicaä of the Valley of the Wind,8
1988,Rain Man,8
1991,Beauty and the Beast,8
